iter	Logloss
0	0.305062548
1	0.2196466693
2	0.1939828065
3	0.1827332326
4	0.1794823072
5	0.1761412525
6	0.1742479512
7	0.1736041488
8	0.1729459261
9	0.1711684553
10	0.1704758073
11	0.170146696
12	0.16915432
13	0.1685262431
14	0.1680580392
15	0.1676048022
16	0.1672480351
17	0.167203689
18	0.1668828942
19	0.1668826153
20	0.1664832888
21	0.1660089464
22	0.1656640222
23	0.1648749111
24	0.1633925318
25	0.1631615366
26	0.1628324216
27	0.1624234071
28	0.1613745893
29	0.1603893129
30	0.1598718909
31	0.1596855865
32	0.1590898088
33	0.1585412842
34	0.1583009862
35	0.1580350774
36	0.157727862
37	0.1576787273
38	0.1575801918
39	0.1575702849
40	0.1570058784
41	0.1566724022
42	0.1563960543
43	0.1562819996
44	0.1557310492
45	0.1550657445
46	0.1547518278
47	0.1538965265
48	0.1534443665
49	0.1525476609
50	0.1522021554
51	0.1514894085
52	0.1507757261
53	0.1505386763
54	0.1504235644
55	0.1502162296
56	0.1495790424
57	0.1491706472
58	0.1491377173
59	0.1488723594
60	0.1486079503
61	0.1478318791
62	0.1475107684
63	0.1469579403
64	0.1467206575
65	0.1465301905
66	0.1463079526
67	0.1462732107
68	0.1458669059
69	0.1455212362
70	0.1453144332
71	0.1453143691
72	0.145215737
73	0.1450465968
74	0.1448806415
75	0.1448180656
76	0.1442266433
77	0.1438369527
78	0.1436024641
79	0.143422911
