iter	Logloss
0	0.3050791178
1	0.2368497743
2	0.1988842525
3	0.1887981884
4	0.1828312199
5	0.1781902178
6	0.1760846554
7	0.1751288409
8	0.1736981196
9	0.1728197341
10	0.1721146629
11	0.1708702772
12	0.1707017763
13	0.1702485729
14	0.1700003388
15	0.1690364747
16	0.1683232182
17	0.1675894367
18	0.1669048858
19	0.166584476
20	0.1658923183
21	0.1654201894
22	0.1652355712
23	0.1649377671
24	0.1644760419
25	0.1638915098
26	0.163481422
27	0.1633098017
28	0.1626080424
29	0.1616199224
30	0.1613068243
31	0.1611361618
32	0.1609141394
33	0.1602126443
34	0.159984873
35	0.1597070684
36	0.1589842512
37	0.1584602461
38	0.1577685974
39	0.1575075722
40	0.1570204609
41	0.156848382
42	0.1564598426
43	0.1558574265
44	0.1556461492
45	0.1551550473
46	0.1540944843
47	0.1538006756
48	0.1534921348
49	0.153194402
50	0.1531629386
51	0.1523834987
52	0.1521853069
53	0.1518392967
54	0.1515729471
55	0.1515066356
56	0.1512395188
57	0.1511144497
58	0.1510271925
59	0.1505513493
60	0.1496140936
61	0.1488124722
62	0.1485858633
63	0.1483867961
64	0.1476275651
65	0.1472087901
66	0.1471275009
67	0.1469615452
68	0.1465940455
69	0.1463428828
70	0.146163832
71	0.1455293708
72	0.145312315
73	0.1448423164
74	0.1445495967
75	0.1441976087
76	0.1438583631
77	0.1434788285
78	0.1432758846
79	0.1430972603
