iter	Logloss
0	0.6456465883
1	0.6029167278
2	0.5639643374
3	0.5281454281
4	0.4969320634
5	0.4689577256
6	0.4419333099
7	0.4196740244
8	0.3982159514
9	0.379979708
10	0.3641286611
11	0.3499246568
12	0.3371885286
13	0.3257628936
14	0.3121146336
15	0.3007675272
16	0.2891247172
17	0.2793322133
18	0.2707417464
19	0.2625144779
20	0.2578724333
21	0.2514291854
22	0.2447148543
23	0.2384361437
24	0.2325430239
25	0.2267877492
26	0.2214767895
27	0.2169434401
28	0.212704256
29	0.209028172
30	0.2058896037
31	0.2025745879
32	0.1996018005
33	0.1968132585
34	0.1943547533
35	0.1921231269
36	0.1901151592
37	0.18837371
38	0.1867849304
39	0.1850343371
40	0.183506431
41	0.1820309067
42	0.1806946194
43	0.1793462901
44	0.1782025981
45	0.1770363674
46	0.1760913533
47	0.1750835497
48	0.173951065
49	0.1727810383
50	0.1719159298
51	0.1710428323
52	0.1703084618
53	0.169486896
54	0.1686931162
55	0.1680613444
56	0.1675106831
57	0.1669296211
58	0.1664161292
59	0.1659766058
60	0.1655538093
61	0.1650701075
62	0.1644978235
63	0.1638347449
64	0.1633247744
65	0.1628714784
66	0.1623797917
67	0.1618242382
68	0.1614074296
69	0.1610830521
70	0.1607462922
71	0.1603869533
72	0.1600705088
73	0.1597818333
74	0.1595020834
75	0.1590197829
76	0.1585458613
77	0.1580989428
78	0.1577523917
79	0.1573884371
80	0.1570544536
81	0.1567812582
82	0.1565363996
83	0.156268986
84	0.156021466
85	0.1558843957
86	0.1556917511
87	0.1555599926
88	0.1553444349
89	0.1552271226
90	0.155117825
91	0.1548710695
92	0.1546154293
93	0.1544390641
94	0.1542590236
95	0.1541096005
96	0.1539880332
97	0.1538902703
98	0.1536947847
99	0.153562712
100	0.1534434061
101	0.1533237143
102	0.153227365
103	0.1530275912
104	0.1529268432
105	0.1527990381
106	0.1526693659
107	0.1526233829
108	0.1525083266
109	0.1524286105
110	0.1523134737
111	0.1522282089
112	0.1521246046
113	0.1519913837
114	0.1519247891
115	0.1517907895
116	0.1517449366
117	0.1516340011
118	0.1515522225
119	0.151444473
120	0.151318188
121	0.1512221419
122	0.151137669
123	0.1510711548
124	0.1509838991
125	0.1509591733
126	0.1508640306
127	0.1507941797
128	0.1507311867
129	0.1506509675
130	0.1505508725
131	0.1505082391
132	0.1503977304
133	0.150352406
134	0.150325338
135	0.1502619154
136	0.1501840809
137	0.1501538447
138	0.1500669708
139	0.1499609401
140	0.1499019335
141	0.1498639667
142	0.1497856739
143	0.1497263441
144	0.1496623042
145	0.1496500075
146	0.1495874104
147	0.1495305515
148	0.1494588777
149	0.1494062793
150	0.1493037532
151	0.1492360847
152	0.1491892004
153	0.149117959
154	0.1489827599
155	0.1489159397
156	0.1488820563
157	0.148794863
158	0.1487321593
159	0.1487091368
160	0.1486395426
161	0.1485689822
162	0.1485178908
163	0.1484768121
164	0.1483632478
165	0.1483262294
166	0.14826273
167	0.1482488254
168	0.1482198648
169	0.1481254141
170	0.148105694
171	0.1480561878
172	0.1480561795
173	0.1479881056
174	0.1478984966
175	0.1478597068
176	0.1478087547
177	0.1477292752
178	0.1476910567
179	0.1476366764
180	0.1475941632
181	0.1475521454
182	0.1474543039
183	0.1474084651
184	0.1473943407
185	0.1473308294
186	0.1472780211
187	0.1471897063
188	0.1471279352
189	0.1470747643
190	0.1470577162
191	0.1470360937
192	0.1469792421
193	0.1469254051
194	0.1468803881
195	0.1468483262
196	0.1468090258
197	0.1467395831
198	0.1467168224
199	0.1466747668
200	0.1466717759
201	0.1466079089
202	0.1465969754
203	0.1465670367
204	0.1464699412
205	0.1464395702
206	0.1464170398
207	0.1463558933
208	0.1463071762
209	0.1462453051
210	0.1461826889
211	0.1461597268
212	0.1460963732
213	0.1460709924
214	0.1460243281
215	0.1459770588
216	0.145928747
217	0.1459076233
218	0.1458717246
219	0.1458035866
220	0.1457446691
221	0.145713994
222	0.145682187
223	0.1456477352
224	0.1456040957
225	0.1456006665
226	0.1455699278
227	0.1455020338
228	0.145422796
229	0.1453787747
230	0.1453553655
231	0.1452954044
232	0.1452414383
233	0.1452236373
234	0.1452075433
235	0.1451662886
236	0.1451067784
237	0.1450360918
238	0.1450223026
239	0.1449984602
240	0.1449771325
241	0.1449641117
242	0.144943758
243	0.1449076647
244	0.1448867091
245	0.1447930631
246	0.144787036
247	0.1447544253
248	0.1447365893
249	0.1447028815
250	0.1446510031
251	0.1446496983
252	0.1446045066
253	0.1445965448
254	0.144563687
255	0.1445445445
256	0.1445097278
257	0.1444862142
258	0.1444662414
259	0.1443638942
260	0.1443544827
261	0.1443271967
262	0.1442632104
263	0.1442456724
264	0.1442355052
265	0.1442136423
266	0.144160966
267	0.1441029141
268	0.1440488798
269	0.1440488536
270	0.1440123233
271	0.1439604559
272	0.1439230319
273	0.1439134653
274	0.1438605556
275	0.143860488
276	0.1438314588
277	0.1438055668
278	0.143771305
279	0.1437230557
280	0.1437197269
281	0.1437128604
282	0.143680664
283	0.1436275226
284	0.1435949608
285	0.1435618935
286	0.1434903858
287	0.1434358518
288	0.1433936056
289	0.1433350257
290	0.1433221209
291	0.1432786599
292	0.1432598377
293	0.1432405298
294	0.1431788186
295	0.1431786862
296	0.1431600424
297	0.1431508524
298	0.143118287
299	0.1430950063
300	0.1430360505
301	0.1429878024
302	0.1429274614
303	0.1429096709
304	0.1428656807
305	0.1428142722
306	0.1427454164
307	0.1426925859
308	0.1426817761
309	0.1426456168
310	0.142635646
311	0.142595848
312	0.1425778537
313	0.1425538951
314	0.142508319
315	0.1424814817
316	0.1424452139
317	0.1424063098
318	0.1423611573
319	0.1423367825
320	0.142262241
321	0.1422400736
322	0.1422293025
323	0.1422156861
324	0.1421880753
325	0.1421509145
326	0.1421273209
327	0.1421070419
328	0.1420545747
329	0.1420314986
330	0.1420140184
331	0.141987091
332	0.1419222785
333	0.1418845464
334	0.1418361921
335	0.1417771389
336	0.1417683204
337	0.1417369361
338	0.1417161634
339	0.1416958706
340	0.1416614841
341	0.1416406854
342	0.1416118113
343	0.1416057432
344	0.1415844247
345	0.1415250499
346	0.1414759538
347	0.1414482769
348	0.1413968582
349	0.1413700379
350	0.1413555158
351	0.1413150454
352	0.1412994247
353	0.1412356901
354	0.1412165237
355	0.1411983026
356	0.1411861157
357	0.1411682563
358	0.1411223267
359	0.1411154315
360	0.1411039111
361	0.141079929
362	0.1410526508
363	0.1410224698
364	0.1410171809
365	0.1409985683
366	0.1409800476
367	0.1409703703
368	0.1409379683
369	0.1409072714
370	0.1408695647
371	0.1408263305
372	0.1408026278
373	0.1407825876
374	0.140750734
375	0.1407390894
376	0.1407250888
377	0.1406638624
378	0.1406548357
379	0.1406312847
380	0.1406065115
381	0.1405738006
382	0.1405603663
383	0.1404972618
384	0.1404623898
385	0.1404208478
386	0.1403706583
387	0.140310891
388	0.140256729
389	0.1402439582
390	0.1402315004
391	0.1402205096
392	0.1401904393
393	0.140152459
394	0.1401366653
395	0.1401086705
396	0.1400711074
397	0.1400469212
398	0.1400455015
399	0.1400396723
400	0.139997638
401	0.1399769814
402	0.1399555726
403	0.1399214118
404	0.1398925215
405	0.1398767829
406	0.1398290131
407	0.1398162072
408	0.1397725639
409	0.1397584999
410	0.1397484687
411	0.1396959832
412	0.1396804574
413	0.1396378719
414	0.1396286499
415	0.1396072746
416	0.1395707317
417	0.1395617282
418	0.1394735654
419	0.1394653784
420	0.1394140888
421	0.1393857305
422	0.1393444229
423	0.1393226929
424	0.1392841018
425	0.1392619966
426	0.1392333188
427	0.1392257564
428	0.1392173828
429	0.1391795366
430	0.1391065847
431	0.1390935851
432	0.139063618
433	0.1390478291
434	0.1390310728
435	0.1389861052
436	0.1389715099
437	0.1389349932
438	0.1388974421
439	0.1388831591
440	0.1388461031
441	0.1388378783
442	0.1388133298
443	0.1387973734
444	0.1387626959
445	0.1387261047
446	0.1387121306
447	0.1386548413
448	0.1386306641
449	0.1386176766
450	0.1385847313
451	0.138556067
452	0.1385143756
453	0.1384862065
454	0.1384748004
455	0.1384645925
456	0.1384111849
457	0.1383894869
458	0.138378661
459	0.1383680889
460	0.1383465334
461	0.1383119145
462	0.1383047923
463	0.1382779102
464	0.1382150503
465	0.1381948984
466	0.1381486963
467	0.1381334529
468	0.1381201095
469	0.1380923621
470	0.1380851733
471	0.1380429117
472	0.1380166221
473	0.1380066108
474	0.1379991258
475	0.1379409599
476	0.1379254665
477	0.1379083778
478	0.1378911541
479	0.1378324034
480	0.1377996871
481	0.1377722146
482	0.1377395052
483	0.1377100514
484	0.1376914724
485	0.1376770736
486	0.1376391459
487	0.1376106225
488	0.1375852051
489	0.1375843308
490	0.1375661407
491	0.1375181162
492	0.1375070188
493	0.1374830106
494	0.1374512442
495	0.1374317314
496	0.1374181953
497	0.1373989558
498	0.1373678714
499	0.1373497748
500	0.1372704326
501	0.1372421866
502	0.137203817
503	0.1371870691
504	0.1371485575
505	0.1371315451
506	0.1370982312
507	0.1370517488
508	0.1370326322
509	0.1370017189
510	0.1369564721
511	0.1369316474
512	0.1369083928
513	0.1368751303
514	0.1368359918
515	0.1368217004
516	0.1368036952
517	0.1367824209
518	0.1367519673
519	0.1367216039
520	0.1367041264
521	0.1366563499
522	0.1366333521
523	0.1365900299
524	0.1365221666
525	0.136504026
526	0.1364711076
527	0.1364348459
528	0.136423192
529	0.1364110501
530	0.1363728237
531	0.1363099031
532	0.1362903119
533	0.1362397751
534	0.1361963535
535	0.1361666336
536	0.1361370774
537	0.1361240124
538	0.1360791935
539	0.1360613379
540	0.1360262556
541	0.1359736445
542	0.1359373229
543	0.1359021049
544	0.1358697264
545	0.1358160528
546	0.1357738513
547	0.135731724
548	0.1357121895
549	0.1356800333
550	0.1356369306
551	0.1356031048
552	0.1355805048
553	0.135505267
554	0.1354802653
555	0.1354623696
556	0.1354292136
557	0.1353994336
558	0.1353855183
559	0.1353236865
560	0.1352678008
561	0.1352515172
562	0.1352268913
563	0.1352107411
564	0.1351931745
565	0.1351799529
566	0.1351476827
567	0.1351096014
568	0.1350029979
569	0.1349589886
570	0.1349419514
571	0.1349086672
572	0.1348708908
573	0.1348278129
574	0.1347852243
575	0.1347648217
576	0.13474355
577	0.1347183159
578	0.1346622849
579	0.1346331449
580	0.1346058008
581	0.1345777254
582	0.134565048
583	0.1345484257
584	0.1345219973
585	0.1344986107
586	0.134471412
587	0.1344374759
588	0.1343862907
589	0.1343736656
590	0.1343538343
591	0.1343235067
592	0.1343035448
593	0.1342456292
594	0.1342220754
595	0.1342134947
596	0.1341916638
597	0.1341652421
598	0.1341440264
599	0.1341263695
600	0.1341050769
601	0.1340618995
602	0.1340404452
603	0.133993275
604	0.133970205
605	0.1339592856
606	0.133902626
607	0.1338720806
608	0.1338205527
609	0.133785863
610	0.1337813002
611	0.1337568485
612	0.1337179173
613	0.1336880588
614	0.1336760776
615	0.1336363123
616	0.1335806204
617	0.1335418933
618	0.1334893472
619	0.1334726341
620	0.1334569592
621	0.1333957797
622	0.1333724719
623	0.1333133746
624	0.1332882765
625	0.1332532128
626	0.1332210158
627	0.1331929519
628	0.1331796319
629	0.1331699937
630	0.1331458057
631	0.1331252425
632	0.1331162957
633	0.1330803353
634	0.1330441615
635	0.1330278661
636	0.1330259596
637	0.1329899262
638	0.1329578945
639	0.1329475897
640	0.1329159408
641	0.132903511
642	0.1328613157
643	0.1328470707
644	0.1328048926
645	0.1327941869
646	0.1327650235
647	0.132733739
648	0.1327122089
649	0.1326896612
650	0.132680654
651	0.1326531277
652	0.1326162091
653	0.1325696845
654	0.132535676
655	0.132510727
656	0.1325030914
657	0.132463556
658	0.1324232713
659	0.1324135298
660	0.1324069288
661	0.1323877528
662	0.1323613122
663	0.1323034299
664	0.1322597658
665	0.1322341463
666	0.1322136362
667	0.1321867811
668	0.1321516667
669	0.1321305693
670	0.1320712717
671	0.1320622577
672	0.13205048
673	0.1320258557
674	0.131989528
675	0.1319614115
676	0.131934255
677	0.1319292489
678	0.1319205197
679	0.1318993588
680	0.1318802442
681	0.1318732293
682	0.131848327
683	0.1318292357
684	0.1317985291
685	0.1317413886
686	0.131694249
687	0.1316642794
688	0.1316578487
689	0.1316511788
690	0.1315886783
691	0.1315652374
692	0.1315538162
693	0.1315365762
694	0.1315181489
695	0.1314996875
696	0.1314587123
697	0.131428646
698	0.1314114098
699	0.1313875332
700	0.1313257228
701	0.1312864373
702	0.1312800772
703	0.1312546555
704	0.1312300729
705	0.1311917551
706	0.1311278363
707	0.1310886651
708	0.1310663073
709	0.131039092
710	0.1310222117
711	0.1309822209
712	0.1309404953
713	0.13091466
714	0.1308845651
715	0.1308575054
716	0.1308409597
717	0.1308291461
718	0.1307616657
719	0.1307474922
720	0.1307171232
721	0.1306910346
722	0.1306468833
723	0.1305896163
724	0.1305490496
725	0.1305273867
726	0.1305005277
727	0.1304722928
728	0.1304554038
729	0.1304203598
730	0.1303693918
731	0.130329963
732	0.1302770838
733	0.130264334
734	0.1302508982
735	0.1302374538
736	0.1302170819
737	0.1301900493
738	0.130148818
739	0.1300891541
740	0.1300593723
741	0.1300518264
742	0.1300412375
743	0.1300243309
744	0.1300016983
745	0.1299766484
746	0.1299541617
747	0.1299261302
748	0.1299011234
749	0.1298841797
750	0.1298661737
751	0.1298436927
752	0.1298323278
753	0.1298213041
754	0.1297929706
755	0.1297694378
756	0.1297408171
757	0.1297173952
758	0.1296766554
759	0.1296104252
760	0.1296048011
761	0.1295934646
762	0.1295631962
763	0.1295482783
764	0.1295403842
765	0.1295232154
766	0.1294965177
767	0.1294522664
768	0.1294427149
769	0.1294130279
770	0.1294076643
771	0.1293853761
772	0.1293467343
773	0.1293005766
774	0.1292772155
775	0.1292548367
776	0.1292065888
777	0.129183996
778	0.1291518459
779	0.1291346039
780	0.1291225798
781	0.1290976672
782	0.1290863047
783	0.1290861616
784	0.1290525967
785	0.1290207313
786	0.1289888025
787	0.1289450287
788	0.1289359549
789	0.1288900513
790	0.1288753307
791	0.128840492
792	0.12883377
793	0.1288024804
794	0.1287792459
795	0.1287135682
796	0.1286967559
797	0.1286518543
798	0.1286446716
799	0.1286209903
800	0.1285774653
801	0.1285774551
802	0.1285411112
803	0.1285349202
804	0.1285144278
805	0.128504216
806	0.12850191
807	0.12848141
808	0.1284525286
809	0.1284333782
810	0.1284150997
811	0.1283650529
812	0.1283553907
